12,4,37,166,76,575,MikeTauchman_CF
2,0,2,27,12,116,JangJinhyuk_RF
8,2,20,140,86,508,JungEunwon_2B
6,1,24,122,53,434,RohSihwan_3B
5,2,18,115,35,444,HaJoosuk_SS
16,0,14,104,29,398,KimInhwan_1B
7,0,18,97,54,404,KimTaeyeon_DH
5,0,14,81,65,364,ChoiJaehoon_C
1,0,3,29,21,122,Jangwoonho_LF
